State,City,Population Estimate 2016,2016 Election,CityWide,Respondents
NC,Asheville,89121,Clinton,0,15
MA,Boston,673184,Clinton,1,8
CO,Boulder,108090,Clinton,0,11
NC,Charlotte,842051,Clinton,0,12
IL,Chicago,2704958,Clinton,1,16
NY,Colonie,83217,Clinton,0,11
CO,Colorado Springs,465101,Trump,0,23
OH,Columbus,841563,Clinton,0,16
OH,Dayton,140489,Trump,0,13
MI,Detroit,672795,Clinton,0,8
IN,Evansville,119477,Trump,0,10
AZ,Flagstaff,71459,Clinton,0,10
CA,Fresno,522053,Clinton,0,12
MI,Grand Rapids,196445,Trump,0,11
IN,Indianapolis,855164,Clinton,0,8
FL,Jacksonville,880619,Trump,0,18
TN,Knoxville,186239,Trump,0,12
FL,Lakeland,106420,Trump,0,11
TX,Lubbock,252506,Trump,0,8
TN,Nashville,660388,Clinton,0,16
NY,New York City,8537673,Clinton,1,8
IL,Normal,54264,Trump,0,12
PA,Philadelphia,1567872,Clinton,0,19
AZ,Phoenix,1615017,Trump,0,14
PA,Reading,87575,Trump,0,11
TX,San Antonio,1492510,Clinton,0,12
CA,San Francisco,870887,Clinton,1,9
WA,Seattle,704352,Clinton,0,18
WA,Spokane,215973,Trump,0,14
MA,Springfield,154074,Clinton,0,19
