Availability,Seen,City,LGBTInterest,CityWide,Election
No,Yes,SpringfieldMA,0,0,Clinton
Yes,Yes,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,0,0,Clinton
No,No,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,0,0,Clinton
No,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
No,Yes,SpringfieldMA,1,0,Clinton
No,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
No,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
Yes,Yes,SpringfieldMA,1,0,Clinton
Yes,No,SpokaneWA,0,0,Trump
No,No,SpokaneWA,0,0,Trump
No,Yes,SpokaneWA,0,0,Trump
No,Yes,SpokaneWA,0,0,Trump
Yes,Yes,SpokaneWA,0,0,Trump
Yes,Yes,SpokaneWA,0,0,Trump
No,No,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
No,Yes,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
Yes,Yes,SpokaneWA,1,0,Trump
No,Yes,SeattleWA,0,1,Clinton
Yes,Yes,SeattleWA,0,1,Clinton
Yes,No,SeattleWA,0,1,Clinton
Yes,Yes,SeattleWA,0,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
No,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
No,Yes,SeattleWA,1,1,Clinton
Yes,Yes,SeattleWA,1,1,Clinton
No,No,SanFranciscoCA,0,1,Clinton
Yes,No,SanFranciscoCA,0,1,Clinton
Yes,Yes,SanFranciscoCA,1,1,Clinton
Yes,Yes,SanFranciscoCA,1,1,Clinton
Yes,Yes,SanFranciscoCA,1,1,Clinton
Yes,Yes,SanFranciscoCA,1,1,Clinton
